

Software Version	2.00.18



Plate Number	Plate 1
Date	8/27/2014
Time	3:08:54 PM
Reader Type:	Synergy H1
Reader Serial Number:	265568
Reading Type	Reader

Procedure Details

Plate Type	Corning 384 well 3573
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
Well Mode	
    Dispense	10 µL, Dispenser 2, Rate 225 µL/sec
	All wells
    Read	Luminescence Endpoint
	Full Plate
	Integration Time: 0:00.50 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 0 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Mode	



Actual Temperature:	28.3

Results

Well	Read 1:600	Read 2:Lum
A1	0.291	5
A2	0.953	10
A3	0.938	64
A4	0.654	2
A5	0.613	3
A6	0.671	4
A7	0.648	4
A8	0.855	29
A9	0.918	45
A10	0.493	3
A11	0.638	3
A12	0.658	3
A13	0.798	4
A14	0.790	7
A15	0.950	65
A16	0.606	2
A17	0.607	4
A18	0.685	3
A19	0.595	3
A20	0.902	38
A21	0.876	52
A22	0.679	3
A23	0.652	4
A24	0.686	3
B1	0.672	13
B2	0.877	4
B3	0.707	49
B4	0.509	4
B5	0.638	4
B6	0.565	3
B7	0.817	46
B8	0.801	5
B9	0.823	91
B10	0.576	3
B11	0.516	3
B12	0.870	3
B13	0.628	15
B14	0.719	6
B15	0.802	216
B16	0.511	4
B17	0.589	3
B18	0.627	4
B19	0.609	25
B20	0.844	4
B21	0.948	137
B22	0.527	4
B23	0.525	4
B24	0.579	3
C1	0.598	4
C2	0.581	4
C3	0.771	24
C4	0.467	3
C5	0.562	3
C6	0.618	3
C7	0.610	8
C8	0.629	7
C9	0.505	43
C10	0.577	4
C11	0.544	3
C12	0.757	3
C13	0.578	3
C14	0.670	4
C15	0.850	23
C16	0.692	4
C17	0.490	3
C18	0.595	3
C19	0.550	7
C20	0.569	13
C21	0.694	48
C22	0.658	4
C23	0.551	3
C24	0.760	4
D1	0.694	19
D2	0.804	5
D3	0.758	120
D4	0.587	4
D5	0.496	3
D6	0.645	3
D7	0.802	53
D8	0.721	5
D9	1.017	145
D10	0.596	3
D11	0.751	4
D12	0.582	3
D13	0.643	23
D14	0.736	4
D15	0.731	117
D16	0.474	4
D17	0.844	4
D18	0.649	3
D19	0.705	38
D20	0.774	5
D21	0.594	180
D22	0.552	3
D23	0.668	3
D24	0.652	2
E1	0.537	3
E2	0.809	4
E3	0.998	63
E4	0.578	5
E5	0.456	2
E6	0.474	4
E7	0.881	5
E8	0.850	6
E9	1.014	58
E10	0.685	5
E11	0.620	3
E12	0.613	4
E13	0.546	4
E14	0.790	4
E15	0.831	24
E16	0.635	5
E17	0.690	3
E18	0.733	3
E19	0.636	8
E20	0.749	7
E21	0.762	16
E22	0.493	3
E23	0.562	3
E24	0.761	3
F1	0.529	5
F2	0.999	6
F3	0.988	225
F4	0.536	3
F5	0.612	3
F6	0.665	3
F7	0.747	17
F8	0.953	6
F9	0.935	182
F10	0.560	3
F11	0.726	4
F12	0.574	4
F13	0.704	26
F14	0.678	4
F15	0.888	226
F16	0.503	4
F17	0.593	3
F18	0.797	4
F19	0.714	21
F20	0.697	4
F21	0.672	75
F22	0.636	4
F23	0.683	3
F24	0.675	3
G1	0.277	5
G2	0.847	5
G3	0.939	47
G4	0.850	4
G5	0.578	3
G6	0.732	4
G7	0.485	3
G8	0.924	8
G9	0.854	16
G10	0.581	3
G11	0.574	3
G12	0.624	4
G13	0.718	3
G14	0.887	3
G15	0.795	20
G16	0.510	3
G17	0.603	4
G18	0.734	2
G19	0.731	11
G20	0.789	7
G21	0.797	25
G22	0.632	3
G23	0.704	4
G24	0.570	3
H1	0.730	20
H2	0.681	5
H3	0.723	53
H4	0.454	3
H5	0.584	4
H6	0.755	4
H7	0.586	6
H8	0.747	5
H9	0.831	77
H10	0.567	5
H11	0.555	3
H12	0.490	3
H13	0.631	17
H14	0.627	5
H15	0.686	41
H16	0.541	3
H17	0.756	3
H18	0.570	4
H19	0.732	22
H20	0.673	3
H21	0.745	42
H22	0.721	3
H23	0.580	3
H24	0.615	3
I1	0.256	3
I2	1.015	6
I3	0.958	27
I4	0.402	3
I5	0.470	3
I6	0.578	4
I7	0.481	4
I8	1.095	11
I9	0.865	30
I10	0.510	3
I11	0.515	3
I12	0.473	3
I13	0.484	3
I14	0.924	8
I15	0.850	16
I16	0.444	3
I17	0.497	3
I18	0.603	4
I19	0.613	3
I20	0.841	5
I21	0.850	15
I22	0.591	3
I23	0.588	3
I24	0.616	4
J1	0.719	5
J2	0.785	4
J3	0.983	48
J4	0.621	3
J5	0.490	3
J6	0.498	3
J7	0.648	11
J8	0.797	5
J9	0.828	130
J10	0.511	3
J11	0.537	3
J12	0.560	3
J13	0.583	6
J14	0.896	4
J15	0.810	42
J16	0.486	4
J17	0.596	3
J18	0.866	3
J19	0.719	4
J20	0.844	5
J21	0.920	56
J22	0.657	3
J23	0.516	3
J24	0.565	3
K1	0.594	3
K2	0.844	4
K3	0.893	6
K4	0.458	4
K5	0.454	3
K6	0.392	3
K7	0.691	3
K8	0.755	4
K9	0.807	6
K10	0.638	3
K11	0.492	3
K12	0.559	3
K13	0.729	4
K14	0.682	4
K15	1.021	21
K16	0.577	4
K17	0.365	2
K18	0.549	3
K19	0.617	3
K20	1.010	7
K21	0.837	8
K22	0.529	3
K23	0.498	3
K24	0.469	3
L1	0.565	3
L2	0.914	3
L3	0.764	18
L4	0.433	3
L5	0.502	3
L6	0.539	3
L7	0.565	6
L8	0.697	4
L9	0.714	14
L10	0.543	3
L11	0.427	3
L12	0.455	3
L13	0.441	3
L14	0.860	3
L15	0.850	37
L16	0.553	3
L17	0.588	3
L18	0.543	4
L19	0.448	3
L20	0.829	4
L21	0.703	15
L22	0.565	3
L23	0.580	3
L24	0.467	3
M1	0.224	4
M2	0.378	5
M3	0.929	5
M4	0.363	3
M5	0.427	2
M6	0.401	3
M7	0.610	3
M8	0.947	4
M9	0.917	4
M10	0.501	4
M11	0.593	3
M12	0.536	4
M13	0.691	3
M14	0.607	4
M15	0.691	4
M16	0.456	3
M17	0.773	3
M18	0.234	3
M19	0.439	3
M20	0.642	3
M21	0.693	4
M22	0.502	3
M23	0.476	2
M24	0.479	3
N1	0.693	3
N2	0.929	4
N3	0.883	25
N4	0.583	4
N5	0.589	3
N6	0.697	3
N7	0.730	3
N8	0.961	4
N9	0.913	10
N10	0.522	3
N11	0.645	3
N12	0.587	3
N13	0.620	3
N14	0.976	4
N15	0.803	9
N16	0.480	3
N17	0.542	3
